23:12:56 | DB_CALL  |    301ms | rows=1
23:12:56 | REQUEST  |    315ms | GET /admin/events -> 200
23:13:00 | DB_CALL  |    280ms | rows=1
23:13:00 | REQUEST  |    284ms | POST /admin/events/c2df74ea-3e3c-40e0-b418-c6b5cd3d05cc/edit -> 303
23:13:00 | DB_CALL  |    206ms | rows=1
23:13:00 | REQUEST  |    207ms | GET /admin/events -> 200
23:14:39 | DB_CALL  |    921ms | rows=0
23:14:39 | DB_CALL  |    308ms | rows=1
23:14:39 | REQUEST  |   1231ms | POST /admin/events/create -> 303
23:14:40 | DB_CALL  |    298ms | rows=2
23:14:40 | REQUEST  |    299ms | GET /admin/events -> 200
23:15:31 | DB_CALL  |    495ms | rows=1
23:15:31 | REQUEST  |    497ms | POST /admin/events/create -> 303
23:15:31 | DB_CALL  |    239ms | rows=3
23:15:31 | REQUEST  |    240ms | GET /admin/events -> 200
23:15:36 | DB_CALL  |    254ms | rows=0
23:15:36 | DB_CALL  |    264ms | rows=1
23:15:36 | REQUEST  |    268ms | GET /admin/dashboard -> 200
23:15:56 | REQUEST  |      8ms | GET / -> 200
23:15:57 | AUTH     |      1ms | sign_in_with_oauth
23:15:57 | REQUEST  |      4ms | GET /auth/github -> 307
23:16:00 | AUTH     |    484ms | exchange_code_for_session
23:16:01 | DB_CALL  |    520ms | rows=0
23:16:01 | DB_CALL  |    267ms | rows=1
23:16:01 | REQUEST  |   1282ms | GET /auth/callback -> 307
23:16:01 | DB_CALL  |    331ms | rows=1
23:16:01 | REQUEST  |    346ms | GET /user/complete-profile -> 200
23:16:13 | DB_CALL  |    591ms | rows=1
23:16:13 | REQUEST  |    593ms | POST /user/complete-profile -> 302
23:16:14 | DB_CALL  |    301ms | rows=1
23:16:14 | DB_CALL  |    310ms | rows=0
23:16:14 | DB_CALL  |    309ms | rows=0
23:16:14 | DB_CALL  |    312ms | rows=1
23:16:14 | REQUEST  |    625ms | GET /user/events -> 200
23:16:21 | DB_CALL  |    530ms | rows=1
23:16:21 | REQUEST  |    838ms | POST /user/events/f358219c-584f-45da-9680-46f7d7b7943e/register -> 302
23:16:21 | DB_CALL  |    233ms | rows=1
23:16:21 | DB_CALL  |    201ms | rows=1
23:16:21 | DB_CALL  |    211ms | rows=1
23:16:21 | DB_CALL  |    230ms | rows=1
23:16:22 | DB_CALL  |    207ms | rows=1
23:16:22 | REQUEST  |    671ms | GET /user/events -> 200
23:16:29 | REQUEST  |    839ms | GET /user/registrations/46c26270-3176-40e4-b21f-3567293b65f0/qr -> 200
23:17:03 | REQUEST  |      7ms | GET /admin/verify -> 200
23:17:27 | REQUEST  |    939ms | POST /api/verify -> 200
23:17:27 | DB_CALL  |    201ms | rows=1
23:17:40 | DB_CALL  |    528ms | rows=0
23:17:40 | DB_CALL  |    531ms | rows=2
23:17:40 | REQUEST  |    532ms | GET /admin/dashboard -> 200
23:17:48 | DB_CALL  |    473ms | rows=0
23:17:48 | DB_CALL  |    653ms | rows=2
23:17:48 | REQUEST  |    654ms | GET /admin/dashboard -> 200
23:21:06 | DB_CALL  |    665ms | rows=0
23:21:06 | DB_CALL  |    676ms | rows=2
23:21:06 | REQUEST  |    708ms | GET /admin/dashboard -> 200
23:21:08 | DB_CALL  |    254ms | rows=0
23:21:08 | DB_CALL  |    258ms | rows=2
23:21:08 | REQUEST  |    260ms | GET /admin/dashboard -> 200
23:21:14 | DB_CALL  |    486ms | rows=1
23:21:14 | REQUEST  |    567ms | GET /admin/export-attendance -> 200
